fichier;nature;numéro;date;année;sens;extrait
CONSTEXT000038472170.xml;QPC;2019-778;2019-05-10;2019;Conformité;
CONSTEXT000038472172.xml;QPC;2019-779/780;2019-05-10;2019;Conformité;
CONSTEXT000038472173.xml;DC04;2019-780;2019-04-04;2019;Non conformité partielle;
CONSTEXT000038472174.xml;QPC;2019-781;2019-05-10;2019;Non conformité totale;
CONSTEXT000038602047.xml;DC04;2019-781;2019-05-16;2019;Non conformité partielle;
CONSTEXT000038602049.xml;QPC;2019-782;2019-05-17;2019;Conformité;
CONSTEXT000038602050.xml;QPC;2019-783;2019-05-17;2019;Conformité; aux droits et libertés que la Constitution garantit du 3° du paragraphe I de l'article L. 113-1 du code électoral et de l'article 3 de la loi n° 62-1292 du 6 novembre 1962 relative à l'élection du Président de
CONSTEXT000038602051.xml;QPC;2019-784;2019-05-24;2019;Conformité;
CONSTEXT000038602053.xml;QPC;2019-786;2019-05-24;2019;Non conformité totale - effet différé - réserve transitoire;
CONSTEXT000038602054.xml;QPC;2019-787;2019-06-07;2019;Conformité;
CONSTEXT000038602055.xml;QPC;2019-788;2019-06-07;2019;Conformité;
CONSTEXT000038755903.xml;DC04;2019-784;2019-06-27;2019;Non conformité partielle;
CONSTEXT000038755905.xml;QPC;2019-791;2019-06-21;2019;Non conformité partielle;
CONSTEXT000038755906.xml;QPC;2019-792;2019-06-21;2019;Conformité;
CONSTEXT000038755907.xml;QPC;2019-793;2019-06-28;2019;Conformité;
CONSTEXT000038755908.xml;QPC;2019-794;2019-06-28;2019;Conformité;
CONSTEXT000038755909.xml;QPC;2019-795;2019-07-05;2019;Conformité;
