fichier;nature;numéro;date;année;sens;extrait
CONSTEXT000036238088.xml;AN;2017-5049;2017-12-18;2017;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036238089.xml;AN;2017-5088;2017-12-18;2017;Rejet;et au vote des Français établis hors de France pour l'élection du Président de la république ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036238090.xml;AN;2017-5092;2017-12-18;2017;Annulation;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036238091.xml;AN;2017-5098/5159;2017-12-18;2017;Annulation;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036238092.xml;AN;2017-5112;2017-12-18;2017;Rejet;- la Convention européenne de sauvegarde des droits de l'homme et des libertés fondamentales ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036238094.xml;QPC;2017-681;2017-12-15;2017;Conformité;
CONSTEXT000036238095.xml;QPC;2017-682;2017-12-15;2017;Non conformité totale;
CONSTEXT000036440437.xml;DC04;2017-756;2017-12-21;2017;Non conformité partielle;
CONSTEXT000036440438.xml;DC04;2017-758;2017-12-28;2017;Non conformité partielle;
CONSTEXT000036440439.xml;DC04;2017-759;2017-12-28;2017;Non conformité partielle;
CONSTEXT000036486239.xml;QPC;2017-683;2018-01-09;2018;Non conformité partielle - réserve;
CONSTEXT000036486240.xml;QPC;2017-684;2018-01-11;2018;Non conformité totale;
CONSTEXT000036496226.xml;QPC;2017-685;2018-01-12;2018;Conformité;
CONSTEXT000036539288.xml;AN;2017-5079/5082/5129;2018-01-19;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- la loi n° 2016-1048 du 1er août 2016 rénovant les modalités d'inscription sur les listes él
CONSTEXT000036539289.xml;AN;2017-5099;2018-01-19;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036539290.xml;AN;2017-5126;2018-01-19;2018;Annulation;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036539291.xml;AN;2017-5132;2018-01-19;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- la loi organique n° 76-97 du 31 janvier 1976 relative aux listes électorales consulaires et
CONSTEXT000036539292.xml;QPC;2017-686;2018-01-19;2018;Conformité - réserve;
CONSTEXT000036706179.xml;AN;2017-5041;2018-02-02;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le décret n° 2003-1377 du 31 décembre 2003 relatif à l'inscription au registre des Français
CONSTEXT000036706180.xml;AN;2017-5052;2018-02-02;2018;Annulation;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036706181.xml;AN;2017-5055/5070;2018-02-02;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036706182.xml;AN;2017-5090;2018-02-02;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036706185.xml;AN;2017-5256R QPC /;2018-02-02;2018;Rejet;
CONSTEXT000036706186.xml;SEN;2017-5430;2018-02-02;2018;Rejet;loi organique sur le Conseil constitutionnel, notamment le deuxième alinéa de son article 38 ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036706187.xml;QPC;2017-681R;2018-02-16;2018;Rectification d'erreur matérielle;
CONSTEXT000036706188.xml;QPC;2017-687;2018-02-02;2018;Conformité;
CONSTEXT000036706190.xml;QPC;2017-689;2018-02-08;2018;Non conformité totale;
CONSTEXT000036706192.xml;QPC;2017-691;2018-02-16;2018;Non conformité partielle - effet différé - réserve;
CONSTEXT000036706193.xml;QPC;2017-692;2018-02-16;2018;Non conformité de date à date - non lieu à statuer;
CONSTEXT000036706194.xml;DC04;2018-763;2018-03-08;2018;Conformité;
CONSTEXT000036858825.xml;SEN;2017-5259;2018-04-06;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le code de la sécurité sociale ,#- le règlement applicable à la procédure suivie devant le 
CONSTEXT000036858827.xml;SEN;2017-5263/5264;2018-04-06;2018;Rejet;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036858828.xml;SEN;2017-5266;2018-04-13;2018;Annulation;rdonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel ,#- le code électoral ,#- le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le con
CONSTEXT000036858843.xml;QPC;2017-694;2018-03-02;2018;Non conformité totale - effet différé - réserve transitoire;
CONSTEXT000036858844.xml;QPC;2017-695;2018-03-29;2018;Non conformité partielle - effet différé - réserve - non lieu à statuer;
CONSTEXT000036858854.xml;QPC;2018-697;2018-04-06;2018;Conformité - réserve;
CONSTEXT000036858855.xml;QPC;2018-698;2018-04-06;2018;Conformité;
CONSTEXT000036858856.xml;QPC;2018-699;2018-04-13;2018;Conformité;
CONSTEXT000036858857.xml;QPC;2018-700;2018-04-13;2018;Conformité;
CONSTEXT000036858858.xml;QPC;2018-701;2018-04-20;2018;Conformité;
CONSTEXT000036858859.xml;QPC;2018-702;2018-04-20;2018;Conformité;
CONSTEXT000036858860.xml;DC04;2018-761;2018-03-21;2018;Non conformité partielle - réserve;
CONSTEXT000036858861.xml;DC04;2018-762;2018-03-15;2018;Conformité;
CONSTEXT000036960444.xml;AN;2018-5474;2018-05-25;2018;Non lieu à prononcer l'inéligibilité;ision du 15 janvier 2018), dans les conditions prévues au troisième alinéa de l'article L. 52-15 du code électoral. Cette saisine est relative à la situation de M. Logan GIRARD, candidat aux élections qui se so
CONSTEXT000036960471.xml;QPC;2018-707;2018-05-25;2018;Conformité;
CONSTEXT000037070296.xml;AN;2018-5562;2018-06-08;2018;Inéligibilité;ision du 31 janvier 2018), dans les conditions prévues au troisième alinéa de l'article L. 52-15 du code électoral. Cette saisine est relative à la situation de M. Tauhiti NENA, candidat aux élections qui se so
